"SupportedOn","Hive","EditorDir","EditorName","Properties","Drive","Path","ADMX"
"At least Windows 10 Version 2004","User","Windows Components > Account Notifications","Turn off account notifications in Start","DisableAccountNotifications (toggle)","HKCU:\","SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\AccountNotifications","AccountNotifications.admx"
"At least Windows Vista","Computer","Windows Components > ActiveX Installer Service","Approved Installation Sites for ActiveX Controls","ApprovedList (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\AxInstaller","ActiveXInstallService.admx"
"At least Windows Vista","Computer","Windows Components > ActiveX Installer Service","Establish ActiveX installation policy for sites in Trusted zones","InstallTrustedOCX (enum), InstallSignedOCX (enum), InstallUnSignedOCX (enum), IgnoreUnknownCA (boolean), IgnoreInvalidCN (boolean), IgnoreInvalidCertDate (boolean), IgnoreWrongCertUsage (boolean)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\AxInstaller\AxISURLZonePolicies","ActiveXInstallService.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Specify default category for Add New Programs","DefaultCategory (text)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide the ""Add a program from CD-ROM or floppy disk"" option","NoAddFromCDorFloppy (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide the ""Add programs from Microsoft"" option","NoAddFromInternet (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide the ""Add programs from your network"" option","NoAddFromNetwork (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide Add New Programs page","NoAddPage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Remove Add or Remove Programs","NoAddRemovePrograms (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide the Set Program Access and Defaults page","NoChooseProgramsPage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide Change or Remove Programs page","NoRemovePage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Go directly to Components Wizard","NoServices (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Remove Support Information","NoSupportInfo (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
